865,86 (2),Jul 5,SFG,,COL,L,3-7,8-9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.247,.327,.335,.662,9,.90,-0.023,-0.42,,,PH
866,88 (1),Jul 8,SFG,,ARI,W,6-2,8-9,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.251,.330,.355,.685,9,.10,0.014,1.00,,,PH
867,89,Jul 9,SFG,,ARI,W,4-2,6-GF,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.250,.332,.353,.685,6,.49,0.027,0.23,,,PH RF
868,90,Jul 10,SFG,,ARI,W,4-0,CG,4,2,0,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,.253,.340,.360,.700,7,.32,0.059,1.65,,,RF
869,91,Jul 15,SFG,@,SDP,L,1-4,CG,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.249,.335,.354,.689,7,.99,-0.071,-0.67,,,RF
870,92,Jul 16,SFG,@,SDP,L,6-7,10-GF(10),1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.253,.338,.358,.696,7,.46,0.017,0.21,,,PH RF
871,93,Jul 17,SFG,@,SDP,L,3-5,CG,4,3,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,.249,.336,.352,.689,6,.77,0.049,0.76,,,RF
872,94,Jul 19,SFG,@,BOS,L,0-4,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.247,.335,.351,.685,8,.53,-0.014,-0.25,,,PH RF
873,95,Jul 20,SFG,@,BOS,L,7-11,6-GF,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.245,.332,.347,.679,6,1.68,-0.245,-1.87,,,PH RF
874,96,Jul 22,SFG,@,NYY,L,2-3,CG,4,4,0,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,.245,.330,.350,.680,9,2.28,0.104,-0.08,,,RF
875,98 (1),Jul 24,SFG,@,NYY,L,2-5,9-GF,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.244,.329,.348,.677,9,.78,-0.020,-0.25,,,PH
876,99,Jul 25,SFG,,CIN,L,5-7,6-8,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.243,.328,.347,.674,9,1.91,-0.048,-0.23,,,RF
877,100,Jul 26,SFG,,CIN,W,9-7,7-8,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.241,.326,.345,.671,9,.08,-0.002,-0.46,,,PH
878,101,Jul 27,SFG,,CIN,L,1-2,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.237,.321,.338,.659,1,1.16,-0.122,-0.70,,,CF
879,102,Jul 28,SFG,,WSN,L,2-4,9-GF,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.236,.319,.337,.656,9,4.89,0.128,1.00,,,PH
880,103,Jul 29,SFG,,WSN,L,1-4,CG,4,3,0,2,0,0,0,1,1,0,1,0,0,0,0,0,1,0,.242,.326,.341,.668,7,.86,0.119,1.09,,,RF
881,104,Jul 30,SFG,,WSN,W,5-3,CG,4,3,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.243,.329,.341,.670,8,1.83,-0.044,-0.39,,,CF
882,105,Jul 31,SFG,,WSN,W,3-1,6-GF,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.241,.327,.338,.664,5,.78,-0.039,-0.65,,,LF
883,106,Aug 2,SFG,@,PHI,L,8-13,8-8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.240,.325,.336,.662,8,1.85,-0.047,-0.23,,,PH
884,107,Aug 3,SFG,@,PHI,L,4-5,12-GF(12),0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.240,.325,.336,.662,7,,,,,,LF
885,108,Aug 4,SFG,@,PHI,W,3-2,9-9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.239,.324,.335,.659,9,2.30,-0.064,-0.23,,,PH
886,110 (1),Aug 6,SFG,@,WSN,W,7-1,CG,4,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,.234,.319,.329,.648,8,.80,-0.090,-1.57,,,LF
